Date,Action,Symbol,Description,Amount
2025-01-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-01-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-02-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-02-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-03-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-03-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-04-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-04-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-05-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-05-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-06-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-06-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-07-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-07-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-08-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-08-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-09-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-09-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-10-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-10-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
2025-11-16,EFT,,ELECTRONIC FUNDS TRANSFER RECEIVED (CASH),500.0
2025-11-18,BUY,FXAIX,FIDELITY 500 INDEX FUND,-490.0
