Run Date,Account,Action,Symbol,Security Description,Quantity,Price,Amount
2025-01-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-01-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-01-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-02-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-02-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-02-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-03-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-03-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-03-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-04-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-04-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-04-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-05-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-05-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-05-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-06-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-06-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-06-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-07-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-07-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-07-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-08-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-08-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-08-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-09-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-09-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-09-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-10-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-10-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-10-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
2025-11-06,Roth IRA,EFT RECEIVED,,Cash Contribution,,,600.0
2025-11-07,Roth IRA,YOU BOUGHT,NVDA,NVIDIA CORP,2,140.0,-280.0
2025-11-07,Roth IRA,YOU BOUGHT,TSLA,TESLA INC,1,250.0,-250.0
